Time,NumberObject,TypeObject,Positions
2022-07-27 22:28:29.256020,3,person,"[(0.0, 0.0, 229.0, 355.0), (405.0, 0.0, 640.0, 360.0), (60.0, 7.0, 577.0, 355.0)]"
2022-07-27 22:28:29.824500,3,person,"[(406.0, 0.0, 640.0, 360.0), (0.0, 0.0, 228.0, 355.0), (59.0, 8.0, 578.0, 355.0)]"
2022-07-27 22:28:30.450825,3,person,"[(406.0, 0.0, 640.0, 360.0), (0.0, 0.0, 230.0, 356.0), (56.0, 8.0, 581.0, 355.0)]"
2022-07-27 22:28:31.081593,3,person,"[(53.0, 7.0, 585.0, 356.0), (0.0, 0.0, 231.0, 356.0), (405.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:28:31.696948,3,person,"[(393.0, 0.0, 637.0, 355.0), (0.0, 0.0, 173.0, 355.0), (99.0, 7.0, 536.0, 354.0)]"
2022-07-27 22:28:32.298339,3,person,"[(392.0, 0.0, 637.0, 356.0), (0.0, 0.0, 173.0, 355.0), (91.0, 6.0, 543.0, 354.0)]"
2022-07-27 22:28:32.901726,2,person,"[(0.0, 5.0, 358.0, 353.0), (321.0, 3.0, 638.0, 349.0)]"
2022-07-27 22:28:33.530053,2,person,"[(0.0, 4.0, 359.0, 354.0), (319.0, 4.0, 638.0, 349.0)]"
2022-07-27 22:28:34.139684,2,person,"[(1.0, 2.0, 345.0, 357.0), (316.0, 0.0, 640.0, 357.0)]"
2022-07-27 22:28:34.737085,2,person,"[(2.0, 5.0, 344.0, 353.0), (312.0, 0.0, 640.0, 351.0)]"
2022-07-27 22:28:35.342699,1,person,"[(0.0, 5.0, 335.0, 355.0)]"
2022-07-27 22:28:35.945088,1,person,"[(0.0, 6.0, 334.0, 355.0)]"
2022-07-27 22:28:36.564432,1,person,"[(0.0, 6.0, 336.0, 355.0)]"
2022-07-27 22:28:37.172806,2,person,"[(0.0, 0.0, 640.0, 360.0), (396.0, 0.0, 639.0, 360.0)]"
2022-07-27 22:28:37.775194,2,person,"[(1.0, 0.0, 637.0, 359.0), (393.0, 0.0, 639.0, 360.0)]"
2022-07-27 22:28:38.384565,1,person,"[(0.0, 0.0, 230.0, 359.0)]"
2022-07-27 22:28:38.995930,1,person,"[(0.0, 0.0, 231.0, 358.0)]"
2022-07-27 22:28:39.606176,1,person,"[(3.0, 2.0, 327.0, 359.0)]"
2022-07-27 22:28:40.214548,1,person,"[(3.0, 0.0, 332.0, 360.0)]"
2022-07-27 22:28:40.820927,1,person,"[(3.0, 0.0, 331.0, 360.0)]"
2022-07-27 22:28:41.513076,3,person,"[(0.0, 8.0, 245.0, 350.0), (399.0, 1.0, 640.0, 360.0), (92.0, 6.0, 541.0, 356.0)]"
2022-07-27 22:28:42.174308,3,person,"[(25.0, 2.0, 627.0, 353.0), (407.0, 0.0, 640.0, 355.0), (0.0, 3.0, 258.0, 355.0)]"
2022-07-27 22:28:42.750767,4,person,"[(21.0, 5.0, 624.0, 352.0), (410.0, 0.0, 639.0, 357.0), (35.0, 184.0, 190.0, 358.0), (1.0, 1.0, 243.0, 354.0)]"
2022-07-27 22:28:43.312265,3,person,"[(16.0, 7.0, 626.0, 351.0), (405.0, 0.0, 639.0, 355.0), (0.0, 4.0, 246.0, 354.0)]"
2022-07-27 22:28:43.883736,3,person,"[(49.0, 5.0, 610.0, 355.0), (0.0, 12.0, 244.0, 347.0), (384.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:28:43.883736,1,cell phone,"[(79.0, 119.0, 251.0, 226.0)]"
2022-07-27 22:28:44.449225,3,person,"[(44.0, 6.0, 615.0, 354.0), (0.0, 0.0, 255.0, 360.0), (384.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:28:45.013715,2,person,"[(40.0, 8.0, 622.0, 353.0), (0.0, 6.0, 264.0, 358.0)]"
2022-07-27 22:28:45.590188,1,person,"[(22.0, 9.0, 632.0, 353.0)]"
2022-07-27 22:28:46.152683,1,cell phone,"[(14.0, 116.0, 311.0, 222.0)]"
2022-07-27 22:28:46.152683,1,person,"[(190.0, 0.0, 635.0, 359.0)]"
2022-07-27 22:28:46.756070,2,person,"[(4.0, 8.0, 266.0, 359.0), (39.0, 7.0, 618.0, 357.0)]"
2022-07-27 22:28:47.366438,2,person,"[(31.0, 6.0, 625.0, 359.0), (4.0, 7.0, 262.0, 360.0)]"
2022-07-27 22:28:47.994762,2,person,"[(3.0, 2.0, 262.0, 360.0), (182.0, 2.0, 640.0, 359.0)]"
2022-07-27 22:28:48.605126,2,person,"[(2.0, 4.0, 312.0, 355.0), (216.0, 0.0, 638.0, 360.0)]"
2022-07-27 22:28:49.205520,1,person,"[(285.0, 0.0, 640.0, 356.0)]"
2022-07-27 22:28:49.807910,1,person,"[(145.0, 5.0, 470.0, 360.0)]"
2022-07-27 22:28:50.411296,1,person,"[(159.0, 8.0, 475.0, 359.0)]"
2022-07-27 22:28:51.015680,1,person,"[(276.0, 16.0, 485.0, 360.0)]"
2022-07-27 22:28:51.622058,1,person,"[(282.0, 16.0, 489.0, 360.0)]"
2022-07-27 22:28:52.219461,1,person,"[(154.0, 11.0, 488.0, 360.0)]"
2022-07-27 22:28:52.820852,1,person,"[(152.0, 12.0, 485.0, 360.0)]"
2022-07-27 22:28:53.414266,1,person,"[(154.0, 12.0, 483.0, 360.0)]"
2022-07-27 22:28:54.012665,1,person,"[(288.0, 36.0, 480.0, 359.0)]"
2022-07-27 22:28:54.614057,1,person,"[(155.0, 9.0, 479.0, 360.0)]"
2022-07-27 22:28:55.221433,1,person,"[(267.0, 37.0, 479.0, 357.0)]"
2022-07-27 22:28:55.821828,1,person,"[(284.0, 20.0, 478.0, 360.0)]"
2022-07-27 22:28:56.429204,2,person,"[(145.0, 0.0, 329.0, 360.0), (288.0, 18.0, 473.0, 360.0)]"
2022-07-27 22:28:56.429204,1,bottle,"[(374.0, 172.0, 466.0, 238.0)]"
2022-07-27 22:28:57.052537,2,person,"[(139.0, 2.0, 334.0, 360.0), (279.0, 17.0, 475.0, 360.0)]"
2022-07-27 22:28:57.052537,1,bottle,"[(369.0, 170.0, 460.0, 236.0)]"
2022-07-27 22:28:57.652931,2,person,"[(143.0, 1.0, 330.0, 360.0), (285.0, 36.0, 466.0, 359.0)]"
2022-07-27 22:28:57.652931,1,bottle,"[(364.0, 167.0, 455.0, 238.0)]"
2022-07-27 22:28:57.652931,1,baseball bat,"[(364.0, 167.0, 455.0, 238.0)]"
2022-07-27 22:28:58.289231,2,person,"[(141.0, 2.0, 328.0, 360.0), (284.0, 13.0, 468.0, 360.0)]"
2022-07-27 22:28:58.964424,2,person,"[(140.0, 1.0, 327.0, 360.0), (280.0, 10.0, 464.0, 360.0)]"
2022-07-27 22:28:59.544872,2,person,"[(135.0, 1.0, 322.0, 360.0), (275.0, 9.0, 458.0, 360.0)]"
2022-07-27 22:28:59.544872,1,bottle,"[(357.0, 158.0, 442.0, 239.0)]"
2022-07-27 22:29:00.115346,2,person,"[(107.0, 4.0, 343.0, 360.0), (188.0, 7.0, 450.0, 359.0)]"
2022-07-27 22:29:00.677842,1,person,"[(85.0, 7.0, 363.0, 359.0)]"
2022-07-27 22:29:01.248501,1,person,"[(109.0, 11.0, 432.0, 355.0)]"
2022-07-27 22:29:01.814984,1,person,"[(58.0, 8.0, 392.0, 357.0)]"
2022-07-27 22:29:02.380471,1,person,"[(37.0, 6.0, 411.0, 357.0)]"
2022-07-27 22:29:02.942967,1,person,"[(38.0, 4.0, 402.0, 359.0)]"
2022-07-27 22:29:03.544358,1,person,"[(44.0, 7.0, 395.0, 357.0)]"
2022-07-27 22:29:04.157719,1,person,"[(42.0, 13.0, 395.0, 352.0)]"
2022-07-27 22:29:04.778060,1,person,"[(39.0, 10.0, 395.0, 355.0)]"
2022-07-27 22:29:05.381446,1,person,"[(45.0, 10.0, 393.0, 353.0)]"
2022-07-27 22:29:05.991815,1,person,"[(37.0, 9.0, 395.0, 355.0)]"
2022-07-27 22:29:06.609163,1,person,"[(45.0, 10.0, 395.0, 357.0)]"
2022-07-27 22:29:07.204572,1,person,"[(44.0, 10.0, 395.0, 356.0)]"
2022-07-27 22:29:07.806960,1,person,"[(37.0, 12.0, 397.0, 355.0)]"
2022-07-27 22:29:08.409349,1,person,"[(46.0, 8.0, 392.0, 358.0)]"
2022-07-27 22:29:09.006753,1,person,"[(45.0, 8.0, 393.0, 358.0)]"
2022-07-27 22:29:09.614127,2,person,"[(47.0, 7.0, 391.0, 358.0), (230.0, 24.0, 389.0, 349.0)]"
2022-07-27 22:29:10.207541,1,person,"[(233.0, 0.0, 399.0, 360.0)]"
2022-07-27 22:29:10.830873,1,person,"[(230.0, 3.0, 402.0, 360.0)]"
2022-07-27 22:29:11.430271,2,person,"[(31.0, 2.0, 403.0, 360.0), (232.0, 5.0, 410.0, 357.0)]"
2022-07-27 22:29:12.024681,2,person,"[(32.0, 2.0, 405.0, 360.0), (233.0, 3.0, 418.0, 360.0)]"
2022-07-27 22:29:12.633055,1,cell phone,"[(34.0, 70.0, 625.0, 354.0)]"
2022-07-27 22:29:13.230457,1,cell phone,"[(33.0, 66.0, 631.0, 353.0)]"
2022-07-27 22:29:13.828857,1,cell phone,"[(36.0, 56.0, 633.0, 354.0)]"
2022-07-27 22:29:14.431246,1,cell phone,"[(32.0, 44.0, 634.0, 357.0)]"
