Time,NumberObject,TypeObject
2022-04-20 21:42:39.650328,1,license_plate
2022-04-20 21:42:39.840317,1,license_plate
2022-04-20 21:42:40.035639,1,license_plate
2022-04-20 21:42:40.244097,1,license_plate
2022-04-20 21:42:40.442531,1,license_plate
2022-04-20 21:42:40.715336,1,license_plate
2022-04-20 21:42:40.907008,1,license_plate
2022-04-20 21:42:41.096910,1,license_plate
2022-04-20 21:42:41.286606,1,license_plate
2022-04-20 21:42:41.480968,1,license_plate
2022-04-20 21:42:41.691345,1,license_plate
2022-04-20 21:42:41.897457,1,license_plate
2022-04-20 21:42:42.095251,1,license_plate
2022-04-20 21:42:42.286074,1,license_plate
2022-04-20 21:42:42.479354,1,license_plate
2022-04-20 21:42:42.673889,1,license_plate
2022-04-20 21:42:42.865474,1,license_plate
2022-04-20 21:42:43.076588,1,license_plate
2022-04-20 21:42:43.266061,1,license_plate
2022-04-20 21:42:43.456227,1,license_plate
2022-04-20 21:42:43.888157,1,license_plate
2022-04-20 21:42:44.082203,1,license_plate
2022-04-20 21:42:44.277714,1,license_plate
2022-04-20 21:42:44.472653,1,license_plate
2022-04-20 21:42:44.665270,1,license_plate
2022-04-20 21:42:44.860512,1,license_plate
2022-04-20 21:42:45.054294,1,license_plate
2022-04-20 21:42:45.265565,1,license_plate
2022-04-20 21:42:45.458515,1,license_plate
2022-04-20 21:42:45.653575,1,license_plate
2022-04-20 21:42:45.847433,1,license_plate
2022-04-20 21:42:46.038601,1,license_plate
2022-04-20 21:42:46.454091,1,license_plate
2022-04-20 21:42:46.800102,1,license_plate
2022-04-20 21:42:46.990635,1,license_plate
2022-04-20 21:42:47.193957,1,license_plate
2022-04-20 21:42:47.386329,1,license_plate
2022-04-20 21:42:47.582349,1,license_plate
2022-04-20 21:42:47.773938,1,license_plate
2022-04-20 21:42:47.967337,1,license_plate
2022-04-20 21:42:48.158917,1,license_plate
2022-04-20 21:42:48.352788,1,license_plate
2022-04-20 21:42:48.560357,1,license_plate
2022-04-20 21:42:48.754897,1,license_plate
2022-04-20 21:42:48.949518,1,license_plate
2022-04-20 21:42:49.162599,1,license_plate
2022-04-20 21:42:49.368637,1,license_plate
2022-04-20 21:42:49.561769,1,license_plate
2022-04-20 21:42:49.753652,1,license_plate
2022-04-20 21:42:50.032874,1,license_plate
2022-04-20 21:42:50.226264,1,license_plate
2022-04-20 21:42:50.418215,1,license_plate
2022-04-20 21:42:50.610504,1,license_plate
2022-04-20 21:42:50.809804,1,license_plate
2022-04-20 21:42:51.022349,1,license_plate
2022-04-20 21:42:51.375900,1,license_plate
2022-04-20 21:42:51.570141,1,license_plate
2022-04-20 21:42:51.764299,1,license_plate
2022-04-20 21:42:51.955187,1,license_plate
2022-04-20 21:42:52.148020,1,license_plate
2022-04-20 21:42:52.349180,1,license_plate
2022-04-20 21:42:52.548723,1,license_plate
2022-04-20 21:42:52.765880,1,license_plate
2022-04-20 21:42:52.969144,1,license_plate
2022-04-20 21:42:53.265863,1,license_plate
2022-04-20 21:42:53.463777,1,license_plate
2022-04-20 21:42:53.656448,1,license_plate
2022-04-20 21:42:53.846597,1,license_plate
2022-04-20 21:42:54.038719,1,license_plate
2022-04-20 21:42:54.229307,1,license_plate
2022-04-20 21:42:54.440925,1,license_plate
2022-04-20 21:42:54.769381,1,license_plate
2022-04-20 21:42:54.975650,1,license_plate
2022-04-20 21:42:55.164616,1,license_plate
2022-04-20 21:42:55.375039,1,license_plate
2022-04-20 21:42:55.589512,1,license_plate
2022-04-20 21:42:55.798213,1,license_plate
2022-04-20 21:42:55.990223,1,license_plate
2022-04-20 21:42:56.460790,1,license_plate
2022-04-20 21:42:56.678136,1,license_plate
2022-04-20 21:42:57.004228,1,license_plate
2022-04-20 21:42:57.488407,1,license_plate
2022-04-20 21:42:57.838780,1,license_plate
2022-04-20 21:42:58.187102,1,license_plate
2022-04-20 21:42:58.529540,1,license_plate
2022-04-20 21:42:58.748715,1,license_plate
2022-04-20 21:42:59.054858,1,license_plate
2022-04-20 21:42:59.388438,1,license_plate
2022-04-20 21:42:59.729167,1,license_plate
2022-04-20 21:43:00.067203,1,license_plate
2022-04-20 21:43:00.278876,1,license_plate
2022-04-20 21:43:00.486586,1,license_plate
2022-04-20 21:43:00.781664,1,license_plate
2022-04-20 21:43:00.995682,1,license_plate
2022-04-20 21:43:01.207201,1,license_plate
2022-04-20 21:43:01.419509,2,license_plate
2022-04-20 21:43:01.633020,2,license_plate
2022-04-20 21:43:01.842552,2,license_plate
2022-04-20 21:43:02.055290,2,license_plate
2022-04-20 21:43:02.452745,2,license_plate
2022-04-20 21:43:02.811691,2,license_plate
